FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/06/2024;ES48;1=;874;751;572;532;656;720;807;834;507;326;496;512;
01/06/2024;ES48;2-;263;191;173;117;131;212;292;386;535;651;772;803;
01/06/2024;ES48;2=;812;779;536;516;591;712;697;720;447;314;484;447;
01/06/2024;ES49;1-;240;159;123;110;138;142;202;313;472;585;697;761;
01/06/2024;ES49;1=;743;685;488;459;558;596;586;571;351;293;384;462;
01/06/2024;ES49;2-;167;130;79;55;53;51;65;100;114;194;279;415;
01/06/2024;ES49;2=;397;458;439;312;256;341;366;355;385;267;162;143;
01/06/2024;ES50;1-;287;231;187;148;121;118;87;98;125;165;229;269;
01/06/2024;ES50;1=;310;386;395;278;254;264;335;353;410;332;215;183;
01/06/2024;ES50;2-;223;192;175;155;318;143;103;106;171;208;257;324;
01/06/2024;ES50;2=;354;424;432;253;227;266;315;330;372;278;203;198;
01/06/2024;ES51;1-;144;132;87;70;61;77;68;99;111;228;317;370;
01/06/2024;ES51;1=;353;408;406;241;218;244;286;330;390;315;188;180;
01/06/2024;ES51;2-;121;79;52;53;38;48;51;74;127;205;304;353;
01/06/2024;ES51;2=;343;342;367;185;187;206;196;266;313;218;108;134;
01/06/2024;ES52;1-;301;187;107;68;55;50;60;72;157;257;398;445;
01/06/2024;ES52;1=;539;578;551;379;344;526;805;596;544;481;251;212;
01/06/2024;ES52;2-;261;431;202;55;45;48;44;78;121;188;239;284;
01/06/2024;ES52;2=;331;339;323;180;167;227;293;304;289;492;220;165;
01/06/2024;ES53;1-;132;85;61;86;57;62;62;95;135;162;172;214;
01/06/2024;ES53;1=;228;244;250;224;224;246;249;241;202;180;137;159;
01/06/2024;ES53;2-;314;244;219;182;173;157;217;258;312;350;402;510;
01/06/2024;ES53;2=;511;480;455;413;430;447;436;452;473;358;315;341;
01/06/2024;ES54;1-;126;131;80;68;55;57;62;128;149;178;209;253;
01/06/2024;ES54;1=;254;309;273;222;242;247;250;255;237;188;186;182;
01/06/2024;ES54;2-;199;176;103;84;77;72;85;128;169;204;237;262;
01/06/2024;ES54;2=;280;308;306;294;271;255;281;317;315;251;192;229;
01/06/2024;ES55;1-;111;82;48;48;46;33;56;81;109;173;229;244;
01/06/2024;ES55;1=;282;278;257;198;196;171;226;210;254;168;134;189;
01/06/2024;ES55;2-;81;49;33;24;22;25;47;59;95;150;195;220;
01/06/2024;ES55;2=;221;259;227;152;135;154;146;202;213;151;140;144;
01/06/2024;ES56;1-;119;57;41;36;45;63;119;170;216;210;264;292;
01/06/2024;ES56;1=;272;206;162;179;173;177;218;209;112;94;229;196;
01/06/2024;ES56;2-;63;41;25;25;34;49;61;92;116;106;124;152;
01/06/2024;ES56;2=;167;156;105;96;98;97;111;133;84;78;95;108;
01/06/2024;ES57;1-;140;87;68;43;58;88;126;239;309;463;581;545;
01/06/2024;ES57;1=;562;587;347;320;396;434;423;501;260;187;379;289;
01/06/2024;ES57;2-;94;60;35;27;33;84;102;156;269;406;474;556;
01/06/2024;ES57;2=;570;499;284;301;349;401;545;566;268;178;236;226;
01/06/2024;ES58;1-;82;44;41;38;30;77;98;173;257;282;402;404;
01/06/2024;ES58;1=;425;322;199;210;265;319;343;296;170;117;241;184;
01/06/2024;ES58;2-;47;22;24;33;25;28;61;99;188;217;281;325;
01/06/2024;ES58;2=;302;266;159;152;161;198;234;260;163;94;150;129;
01/06/2024;ES59;1-;70;72;50;50;45;72;104;102;160;199;216;259;
01/06/2024;ES59;1=;302;271;193;154;185;188;213;232;171;149;157;136;
01/06/2024;ES59;2-;40;42;29;35;43;64;71;121;171;181;204;257;
01/06/2024;ES59;2=;230;177;130;139;127;261;147;197;137;109;119;81;
01/06/2024;ES60;1-;99;63;56;73;54;78;108;199;340;436;458;509;
01/06/2024;ES60;1=;392;390;227;253;281;338;362;317;174;111;214;185;
01/06/2024;ES60;2-;138;101;66;56;59;71;93;144;253;388;458;497;
01/06/2024;ES60;2=;533;436;287;278;303;344;412;482;266;197;235;242;
02/06/2024;ES01;1-;874;268;221;177;308;305;194;365;638;515;387;423;
02/06/2024;ES01;1=;713;676;473;434;487;411;437;436;465;387;330;342;
02/06/2024;ES01;2-;207;442;288;248;315;383;288;279;372;637;810;831;
02/06/2024;ES01;2=;968;884;746;827;931;900;846;788;640;495;492;379;
02/06/2024;ES02;1-;56;53;107;272;227;206;161;171;143;59;140;268;
02/06/2024;ES02;1=;412;193;404;370;311;149;182;158;200;188;188;291;
02/06/2024;ES02;2-;1248;1190;896;750;541;437;546;473;440;530;699;942;
02/06/2024;ES02;2=;1071;1005;1118;971;1035;1144;1153;1198;1255;1195;1209;841;
02/06/2024;ES03;1-;728;501;354;291;229;194;201;360;400;528;774;1104;
02/06/2024;ES03;1=;1269;1225;1275;847;779;998;1246;1259;1258;1138;723;485;
02/06/2024;ES03;2-;638;410;272;195;129;110;117;145;229;262;357;512;
02/06/2024;ES03;2=;684;842;967;677;545;686;745;786;812;822;644;353;
02/06/2024;ES04;1-;816;571;370;230;178;171;184;169;222;304;403;624;
02/06/2024;ES04;1=;761;891;886;546;600;842;998;1029;1055;1015;742;446;
02/06/2024;ES04;2-;718;406;162;118;93;96;109;132;152;246;367;502;
02/06/2024;ES04;2=;548;601;534;311;352;405;407;415;389;421;367;211;
02/06/2024;ES05;1-;1343;1269;1202;1196;1122;830;994;854;693;819;1179;1346;
02/06/2024;ES05;1=;1636;1659;1894;1629;1415;1315;1281;1276;1361;1517;1463;1500;
02/06/2024;ES05;2-;1005;681;454;464;368;308;486;464;528;671;977;1236;
02/06/2024;ES05;2=;1231;1336;1304;909;1009;1340;1506;1557;1382;1219;985;834;
02/06/2024;ES06;1-;188;104;77;64;39;77;99;128;203;271;412;470;
02/06/2024;ES06;1=;545;473;336;380;440;426;480;442;422;298;173;112;
02/06/2024;ES06;2-;203;115;111;82;63;65;103;113;206;316;368;386;
02/06/2024;ES06;2=;462;442;258;291;345;362;411;322;337;222;149;144;
02/06/2024;ES07;1-;1722;1091;706;506;389;317;489;493;557;803;1355;1941;
02/06/2024;ES07;1=;2043;2103;1967;1514;1422;1757;1808;1723;1829;1777;1581;988;
02/06/2024;ES07;2-;1431;725;589;542;458;446;768;955;913;1129;1685;1905;
02/06/2024;ES07;2=;2091;2300;2100;1435;1734;2137;2397;2419;2365;2031;1454;892;
02/06/2024;ES08;1-;363;314;308;305;426;449;436;440;371;562;649;600;
02/06/2024;ES08;1=;522;569;596;549;376;318;277;352;359;272;326;338;
02/06/2024;ES08;2-;231;176;213;432;472;544;506;504;474;486;653;669;
02/06/2024;ES08;2=;502;569;711;754;545;211;242;246;209;171;182;474;
02/06/2024;ES09;1-;591;576;511;477;438;448;421;460;453;556;742;833;
02/06/2024;ES09;1=;896;888;812;807;788;739;722;667;776;688;585;496;
02/06/2024;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES10;2-;452;291;230;201;168;128;142;170;213;307;382;502;
02/06/2024;ES10;2=;470;425;508;400;401;469;407;438;432;404;363;265;
02/06/2024;ES11;1-;1675;2157;1228;585;354;299;388;814;1183;1587;1942;2693;
02/06/2024;ES11;1=;3348;3471;3788;3220;2039;2323;2950;3300;3161;3224;2947;2060;
02/06/2024;ES11;2-;2452;2937;1489;780;463;348;376;644;892;1201;1757;2515;
02/06/2024;ES11;2=;3191;3490;4156;3874;2855;3100;4078;4408;4481;4381;3811;2873;
02/06/2024;ES12;1-;1415;1184;909;773;790;719;603;400;230;1142;1533;1600;
02/06/2024;ES12;1=;1811;1853;1511;1404;1718;1780;1835;1777;1715;1153;1091;872;
02/06/2024;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES13;1-;578;676;698;555;367;372;282;197;316;196;496;619;
02/06/2024;ES13;1=;820;833;659;895;884;886;892;801;526;779;592;400;
02/06/2024;ES13;2-;151;740;692;471;413;457;307;432;746;738;774;938;
02/06/2024;ES13;2=;1046;936;709;895;967;986;1005;914;391;710;622;470;
02/06/2024;ES14;1-;84;75;69;61;49;35;52;60;82;103;139;177;
02/06/2024;ES14;1=;200;198;138;155;172;167;205;166;142;118;100;72;
02/06/2024;ES14;2-;80;47;41;33;30;23;17;30;43;74;97;146;
02/06/2024;ES14;2=;163;172;100;104;111;146;110;124;132;109;62;45;
02/06/2024;ES15;1-;270;146;84;88;84;110;125;176;267;344;400;422;
02/06/2024;ES15;1=;469;431;293;308;358;392;379;400;368;361;189;241;
02/06/2024;ES15;2-;155;92;66;36;56;54;63;99;185;240;298;400;
02/06/2024;ES15;2=;452;441;262;274;381;470;536;544;434;254;137;60;
02/06/2024;ES16;1-;985;736;703;568;450;420;317;223;419;663;751;870;
02/06/2024;ES16;1=;1107;1017;763;899;1027;1002;892;945;951;889;662;538;
02/06/2024;ES16;2-;662;494;387;308;277;296;235;284;438;591;722;870;
02/06/2024;ES16;2=;1023;985;622;732;950;1040;1091;975;889;651;430;288;
02/06/2024;ES17;1-;1380;973;714;613;584;652;555;650;1085;1527;2023;2603;
02/06/2024;ES17;1=;3443;3315;2333;2701;2957;3630;3395;3310;3167;2489;1800;968;
02/06/2024;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES18;1-;241;163;168;147;89;96;82;110;187;349;571;677;
02/06/2024;ES18;1=;693;569;347;323;495;609;636;597;583;290;145;97;
02/06/2024;ES18;2-;602;365;361;192;133;126;76;111;262;477;692;790;
02/06/2024;ES18;2=;781;640;494;540;723;813;808;666;712;560;380;220;
02/06/2024;ES19;1-;813;464;437;361;299;275;216;191;94;435;629;691;
02/06/2024;ES19;1=;702;607;489;565;696;646;697;796;609;619;438;378;
02/06/2024;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
02/06/2024;ES20;1-;5822;6805;3936;2677;1851;1471;1480;2431;2556;3101;3865;5317;
02/06/2024;ES20;1=;7011;7986;8560;8260;6501;6863;8151;8517;7827;8094;7486;6097;
02/06/2024;ES20;2-;5868;6900;4394;2424;1709;1546;1897;2984;3489;3651;4732;6193;
02/06/2024;ES20;2=;7813;8513;9688;9489;6620;7002;8887;9751;9419;9391;8759;6784;
02/06/2024;ES21;1-;412;226;156;122;130;115;116;145;200;340;495;531;
02/06/2024;ES21;1=;696;688;429;422;584;564;651;630;648;603;312;457;
02/06/2024;ES21;2-;453;284;205;178;156;138;205;250;383;553;748;854;
02/06/2024;ES21;2=;1023;932;512;624;879;1114;1112;1130;840;583;351;310;
02/06/2024;ES22;1-;681;552;430;321;324;258;276;257;356;409;555;652;
02/06/2024;ES22;1=;811;811;843;723;703;783;731;777;736;605;574;472;
02/06/2024;ES22;2-;586;487;339;318;287;243;244;235;241;302;449;609;
02/06/2024;ES22;2=;600;619;593;438;441;541;561;518;476;515;470;410;
02/06/2024;ES23;1-;1432;1349;1062;898;858;811;830;669;679;185;60;61;
02/06/2024;ES23;1=;56;40;38;67;913;1507;1747;1675;1603;1461;1097;844;
02/06/2024;ES23;2-;390;339;350;676;847;1168;1182;1072;827;866;1124;1428;
02/06/2024;ES23;2=;1580;1418;1568;1509;1669;1801;1666;1643;1741;1618;1485;1357;
02/06/2024;ES24;1-;551;520;358;304;191;146;165;121;164;211;292;459;
02/06/2024;ES24;1=;560;645;628;458;461;464;328;447;551;548;482;335;
02/06/2024;ES24;2-;485;389;298;268;223;158;143;135;184;282;436;563;
02/06/2024;ES24;2=;654;651;577;426;405;484;510;419;430;449;323;274;
02/06/2024;ES25;1-;98;118;114;135;156;76;85;107;71;100;100;113;
