codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_483; C. GENERAL RICARDOS;Monsenor Oscar Romero-Eugenia de Montijo;Eugenia de Montijo;20/11/2023;26/11/2023;40.381.350;-3.744.590
2023_484; C. GENERAL ROMERO BASART;Valle Inclán-Rafael Finat;Rafael Finat;20/11/2023;26/11/2023;40.378.117;-3.772.950
2023_485; C. GENERAL ROMERO BASART;Valle Inclán-Rafael Finat;Valle Inclán;20/11/2023;26/11/2023;40.378.117;-3.772.950
2023_488;GOBELAS;ENTRE ZUGAZARTE Y AVDA VASCONGADAS;AVDA VASCONGADAS;23/09/2023;29/09/2023;40.472.320;-3.821.390
2023_496;C. GOYA;Plaza De Colon - Serrano;Plaza De Colon;07/06/2023;13/06/2023;40.425.450;-3.689.160
2023_497;C. GOYA;Plaza De Colon - Serrano;Serrano;07/06/2023;13/06/2023;40.425.480;-3.689.200
2023_517;C. GREGORIO SANCHEZ HERRAEZ;Avenida Barranquilla - Via De Los Poblados;Avenida Barranquilla;29/09/2023;05/10/2023;40.477.241;-3.637.517
2023_518;C. GREGORIO SANCHEZ HERRAEZ;Avenida Barranquilla - Via De Los Poblados;Via De Los Poblados;29/09/2023;05/10/2023;40.477.120;-3.637.510
2023_529;C. GUZMAN EL BUENO;General Davila - San Francisco De Sales;San Francisco De Sales;18/05/2023;24/05/2023;40.443.120;-3.712.530
2023_530;C. GUZMAN EL BUENO;General Davila - San Francisco De Sales;General Davila;18/05/2023;24/05/2023;40.443.440;-3.712.620
2023_531;C. GUZMAN EL BUENO;Joaquin Maria Lopez - Donoso Cortes;Joaquin Maria Lopez;20/05/2023;26/05/2023;40.437.020;-3.713.080
2023_538; C. HERNANDEZ DE TEJADA;Avenida de America-Agastia;Agastia;23/06/2023;29/06/2023;40.446.830;-3.652.410
2023_541; C. HORTALEZA;Fernando VI-Santa Barbara (Pz.);Santa Barbara (Pz.);20/11/2023;26/11/2023;40.426.360;-3.696.730
2023_542;C. HORTALEZA;Fernando VI-Santa Barbara (Pz.);Fernando VI;20/11/2023;26/11/2023;40.426.371;-3.697.005
2023_545;IBIZA;ENTRE LOPE DE RUEDA Y NARVAEZ;LOPE DE RUEDA;21/10/2023;27/10/2023;40.417.080;-3.677.090
2023_546;IBIZA;ENTRE LOPE DE RUEDA Y NARVAEZ;NARVAEZ;21/10/2023;27/10/2023;40.418.270;-3.676.980
2023_547;C. ILLESCAS;Sesena-Escalona;Sesena;21/11/2023;27/11/2023;40.396.430;-3.765.128
2023_548; C. ILLESCAS;Sesena-Escalona;Escalona;21/11/2023;27/11/2023;40.396.500;-3.765.160
2023_553;AV. INGENIERO EMILIO HERRERA;Prínicipe Carlos - Avenida Niceto Alcalá Zamora;Prínicipe Carlos;19/10/2023;25/10/2023;40.492.817;-3.651.750
2023_559;C. ISAAC PERAL;Plaza De Cristo Rey - Domenico Scarlatti;Domenico Scarlatti;19/05/2023;25/05/2023;40.440.680;-3.717.930
2023_560;C. ISAAC PERAL;Plaza De Cristo Rey - Domenico Scarlatti;Plaza De Cristo Rey;19/05/2023;25/05/2023;40.440.420;-3.717.890
2023_561;C. ISABEL COLBRAND;María Tubau-Ctra. De Fuencarral;María Tubau;21/11/2023;27/11/2023;40.515.612;-3.671.573
2023_562; C. ISABEL COLBRAND;Carretera de Acceso a N-I-Maria Tubau;Carretera de Acceso a N-I;21/11/2023;27/11/2023;40.515.010;-3.671.430
2023_571;JAVIER DE MIGUEL;ENTRE PAYASO FOFO Y ANTONIO FOLGUERAS;PAYASO FOFO;23/09/2023;29/09/2023;40.387.944;-3.661.312
2023_572;JAVIER DE MIGUEL;ENTRE PAYASO FOFO Y ANTONIO FOLGUERAS;ANTONIO FOLGUERAS;23/09/2023;29/09/2023;40.387.775;-3.660.482
2023_578;C. JOAQUIN TURINA;Roa-Avda. Carabanchel Alto;Avenida Carabanchel Alto;22/11/2023;28/11/2023;40.372.830;-3.752.530
2023_579; C. JOAQUIN TURINA;Roa-Avda. Carabanchel Alto;Roa;22/11/2023;28/11/2023;40.372.830;-3.752.530
2023_580;C. LA ARMADA ESPAÑOLA;Plaza De Colon - Serrano;Serrano;07/06/2023;13/06/2023;40.424.200;-3.689.110
2023_584;C. JOSE ORTEGA Y GASSET;La Castellana(Pso) - Serrano;La Castellana(Pso);07/06/2023;13/06/2023;40.430.547;-3.687.634
2023_585;PARKING C. JOSE ORTEGA Y GASSET;La Castellana(Pso) - Serrano;Serrano;07/06/2023;13/06/2023;40.430.470;-3.687.890
2023_586;Lateral C. JOSE ORTEGA Y GASSET;La Castellana (P§)-Serrano;Serrano;22/11/2023;28/11/2023;40.430.480;-3.688.230
2023_591;#¿NOMBRE?;Manuel Gutiérrez Mellado-Fina de Calderón;Manuel Gutiérrez Mellado;22/11/2023;28/11/2023;40.494.160;-3.619.140
2023_592;Avenida JUAN ANTONIO SAMARANCH (CARRIL BUS);Manuel Gutiérrez Mellado-Fina de Calderón;Fina de Calderón;22/11/2023;28/11/2023;40.494.020;-3.619.060
2023_593;#¿NOMBRE?;Manuel Gutiérrez Mellado-Fina de Calderón;Manuel Gutiérrez Mellado;22/11/2023;28/11/2023;40.494.230;-3.619.170
2023_594;Avenida JUAN ANTONIO SAMARANCH (CARRIL BUS);Manuel Gutiérrez Mellado-Fina de Calderón;Fina de Calderón;22/11/2023;28/11/2023;40.494.020;-3.619.060
2023_610; Crta. LEGANES;Avenida de Los Poblados-Aguacate;Avenida de Los Poblados;13/11/2023;19/11/2023;40.369.810;-3.738.830
2023_611; Crta. LEGANES;Avenida de Los Poblados-Aguacate;Aguacate;13/11/2023;19/11/2023;40.369.810;-3.738.830
2023_612; Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;M-40;13/11/2023;19/11/2023;40.362.790;-3.744.150
2023_613; Crta. LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;Avenida de la Peseta;13/11/2023;19/11/2023;40.362.910;-3.744.000
2023_614;Lateral Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;M-40;13/11/2023;19/11/2023;40.362.790;-3.744.150
2023_615;Lateral Carretera LEGANES - VIA LUSITANA;M-40-Avenida de la Peseta;Avenida de la Peseta;13/11/2023;19/11/2023;40.362.910;-3.744.000
2023_630; C. LUCHANA;Covarrubias-Manuel Silvela;Manuel Silvela;13/11/2023;19/11/2023;40.431.700;-3.698.690
2023_631; C. LUCHANA;Covarrubias-Manuel Silvela;Covarrubias;13/11/2023;19/11/2023;40.432.000;-3.698.800
2023_650;Av. MANOTERAS;Avenida de Burgos-Ona;Ona;14/11/2023;20/11/2023;40.489.040;-3.671.830
2023_651;Av. MANOTERAS;Ona-Avenida de Manoteras;Avenida Fuente de la Mora;14/11/2023;20/11/2023;40.488.640;-3.669.860
2023_656; C. MANUEL POMBO ANGULO;Padres Dominicos-Puente del Encinar;Padres Dominicos;14/11/2023;20/11/2023;40.507.170;-3.653.610
2023_657; C. MANUEL POMBO ANGULO;Padres Dominicos-Puente del Encinar;Puente del Encinar;14/11/2023;20/11/2023;40.507.123;-3.653.693
2023_658;C. MANZANARES;Daimiel - San Rufo;San Rufo;04/11/2023;10/11/2023;40.408.110;-3.722.480
2023_659; C. MAQUEDA;Quero-Valmojado;Quero;15/11/2023;21/11/2023;40.386.680;-3.760.690
2023_660; C. MAQUEDA;Quero-Valmojado;Valmojado;15/11/2023;21/11/2023;40.386.660;-3.760.700
2023_669;Pº MARCELINO CAMACHO;ENTRE AVDA NUESTRA SEÑORA DE FATIMA Y GTA EL EJERCITO;GTA EL EJERCITO;12/09/2023;18/09/2023;40.387.260;-3.743.710
2023_670; C. MARCENADO;San Ernesto-Avenida Ramon y Cajal;San Ernesto;28/03/2023;03/04/2023;40.450.800;-3.674.530
2023_672;C. MARIA DE MOLINA;Principe De Vergara - Francisco Silvela;Principe De Vergara;27/05/2023;02/06/2023;40.437.450;-3.678.110
2023_673;C. MARIA DE MOLINA;Principe De Vergara - Francisco Silvela;Francisco Silvela;27/05/2023;02/06/2023;40.437.361;-3.678.122
2023_675;LATERAL C. MARIA DE MOLINA;Paseo De La Castellana - Serrano;Serrano;27/05/2023;02/06/2023;40.437.850;-3.687.300
2023_677; C. MARIA DE PORTUGAL;Leonor de Austria-Margarita de Parma;Leonor de Austria;14/11/2023;20/11/2023;40.497.220;-3.663.330
2023_678; C. MARIA DE PORTUGAL;Leonor de Austria-Margarita de Parma;Margarita de Parma;14/11/2023;20/11/2023;40.497.650;-3.663.190
2023_679;C. MARQUÉS DE URQUIJO;Tutor - Martín de los Heros;Martín de los Heros;14/11/2023;20/11/2023;40.430.090;-3.717.904
2023_680; C. MARQUES DE URQUIJO;Tutor-Martin de los Heros;Tutor;15/11/2023;21/11/2023;40.429.820;-3.717.870
2023_687;C. MARTINEZ IZQUIERDO;Pilar De Zaragoza - Amoros;Amoros;31/05/2023;06/06/2023;40.433.750;-3.669.010
2023_688; C. MARTIRES DE ALCALA;Seminario de Nobles-Santa Cruz de Marcenado;Santa Cruz de Marcenado;15/11/2023;21/11/2023;40.429.283;-3.712.583
2023_694;AVENIDA DEL MEDITERRANEO;ENTRE ANTONIO DIAZ CAÑABATE Y WALIA;ANTONIO DIAZ CAÑABATE;22/09/2023;28/09/2023;40.407.040;-3.673.140
2023_695;AVENIDA DEL MEDITERRANEO;ENTRE ANTONIO DIAZ CAÑABATE Y WALIA;WALIA;05/10/2023;11/10/2023;40.407.080;-3.673.650
2023_696;PSO. MELANCOLICOS;San Alejandro - Paseo Pontones;Paseo Pontones;02/11/2023;08/11/2023;40.404.350;-3.720.620
2023_697;PSO. MELANCOLICOS;San Alejandro - Paseo Pontones;San Alejandro;02/11/2023;08/11/2023;40.404.370;-3.720.395
2023_701;C. MENDEZ ALVARO;Tortosa - Murcia;Tortosa;27/10/2023;02/11/2023;40.405.530;-3.691.130
